dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
PC4,0,3,0.6944444444444444,0.9357469015003261,0.6443685736287398,0.82167315341149
PC4,0,5,0.6835443037974683,0.9201565557729942,0.6319115127130095,0.8435318537306798
PC4,0,7,0.6753246753246753,0.9245270711024136,0.6214514548727389,0.8298099028607966
PC4,0,10,0.6578947368421053,0.9210045662100457,0.6007388412246534,0.8136955552422568
PC4,1,3,0.5609756097560976,0.9092628832354859,0.48601400928534744,0.7649360767839086
PC4,1,5,0.5454545454545454,0.9012393998695369,0.469327745459664,0.7713053463951166
PC4,1,7,0.5591397849462365,0.8941943900848011,0.4900022206452271,0.7964369447197605
PC4,1,10,0.5473684210526316,0.8951076320939334,0.4768324601015899,0.7921664745608302
PC4,2,3,0.5,0.902283105022831,0.4144670214837843,0.6988015087258478
PC4,2,5,0.5454545454545454,0.9042400521852577,0.467722715548941,0.7365227446757211
PC4,2,7,0.5925925925925926,0.9095238095238095,0.5238327009331022,0.7853850938214125
PC4,2,10,0.5952380952380952,0.9054794520547945,0.5282246795814713,0.7975009892085713
PC4,3,3,0.6904761904761905,0.9369210697977821,0.6440124410603872,0.8676997205010496
PC4,3,5,0.7317073170731707,0.9435094585779517,0.6919070063092568,0.8891606455643166
PC4,3,7,0.6744186046511628,0.9387475538160469,0.6265025397725167,0.8633284094689672
PC4,3,10,0.651685393258427,0.9319634703196348,0.6018600018404368,0.8567296242421772
PC4,4,3,0.5797101449275363,0.9305555555555555,0.5144465127360973,0.7227904923424154
PC4,4,5,0.547945205479452,0.9285168195718654,0.47216017820779754,0.7157041399224547
PC4,4,7,0.6216216216216216,0.928835372069317,0.5574395888771443,0.7713161765713012
PC4,4,10,0.5753424657534246,0.9301095820591233,0.504158226570866,0.7352005696922718
