dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC4,4,single_shap,2.854,12.991,13.318,0.5833333333333334,0.9315749235474008,0.6215781441154685,0.514525993883792,0.7370181264083226,0.5833333333333334,0.5833333333333334,0.9311926605504588
synapse-1.2,0,two_shap,0.446,11.423,13.501,0.6222222222222222,0.7753267973856208,0.6473043428306586,0.3765197559275315,0.6931032800836721,0.5185185185185185,0.7777777777777778,0.6176470588235294
synapse-1.2,0,single_shap,0.138,7.127,7.391,0.6818181818181818,0.8194444444444444,0.7194676492435375,0.485071250072666,0.7508165489625802,0.5769230769230769,0.8333333333333334,0.6764705882352942
synapse-1.2,1,two_shap,0.409,4.339,4.635,0.7428571428571429,0.8287197231833909,0.7104193412361551,0.6092717958449425,0.8076194245732929,0.7222222222222222,0.7647058823529411,0.8529411764705882
synapse-1.2,1,single_shap,0.145,3.814,4.075,0.7058823529411765,0.8347750865051903,0.7210450798206854,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
synapse-1.2,2,two_shap,0.408,3.695,3.896,0.6666666666666666,0.8399653979238755,0.7327265871383519,0.5408420485294111,0.7323470351758078,0.7692307692307693,0.5882352941176471,0.9117647058823528
synapse-1.2,2,single_shap,0.146,3.274,3.467,0.5517241379310345,0.8226643598615917,0.7116405927057837,0.3922322702763681,0.6443794794178425,0.6666666666666666,0.4705882352941176,0.8823529411764706
synapse-1.2,3,two_shap,0.381,4.181,4.456,0.6060606060606061,0.8070934256055363,0.6744234609194099,0.4183300132670377,0.6960093862470137,0.625,0.5882352941176471,0.8235294117647058
synapse-1.2,3,single_shap,0.139,4.238,4.53,0.625,0.7941176470588235,0.6940305515691353,0.4564354645876384,0.708329092870135,0.6666666666666666,0.5882352941176471,0.8529411764705882
synapse-1.2,4,two_shap,0.407,3.736,4.01,0.7058823529411765,0.852076124567474,0.8028345293051176,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
synapse-1.2,4,single_shap,0.14,3.504,3.766,0.7058823529411765,0.8910034602076125,0.8694172367803323,0.5588235294117647,0.7759356446042893,0.7058823529411765,0.7058823529411765,0.8529411764705882
tomcat,0,two_shap,1.868,13.19,13.462,0.3555555555555555,0.7753715498938428,0.3686774539210279,0.2923551384325127,0.6771991775797204,0.2666666666666666,0.5333333333333333,0.8598726114649682
