dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC1,0,two_shap,23.244,32.412,32.782,0.460431654676259,0.8248868778280543,0.4498465634002059,0.3556504541740143,0.6590820436573077,0.43243243243243246,0.49230769230769234,0.8823529411764706
KC1,0,single_shap,10.492,16.914,17.258,0.5035971223021583,0.8335488041370395,0.486143326974966,0.40743944370522,0.6925590292890375,0.47297297297297297,0.5384615384615384,0.8907563025210085
KC1,1,two_shap,26.526,29.02,29.365,0.391304347826087,0.7803275156216333,0.3607574175639972,0.27345848475976997,0.6015493892807312,0.3698630136986301,0.4153846153846154,0.8711484593837535
KC1,1,single_shap,10.781,13.245,13.593,0.42857142857142855,0.7816849816849817,0.39784027122487564,0.3167907276311975,0.6351073488299558,0.4,0.46153846153846156,0.8739495798319328
KC1,2,two_shap,22.858,25.675,26.025,0.44285714285714284,0.8075199310493428,0.4662208404864882,0.3339629417686882,0.6466394990039299,0.41333333333333333,0.47692307692307695,0.876750700280112
KC1,2,single_shap,11.3,14.354,14.72,0.4148148148148148,0.7999138116785176,0.4397517981370711,0.3038675018145048,0.6165147992851077,0.4,0.4307692307692308,0.8823529411764706
KC1,3,two_shap,27.681,30.358,30.774,0.4397163120567376,0.7902834525025538,0.42327462877876587,0.328855442776345,0.6415953048768678,0.41333333333333333,0.4696969696969697,0.8764044943820225
KC1,3,single_shap,11.672,14.334,14.713,0.45255474452554745,0.7986040177051413,0.40630732834223593,0.3469706427111245,0.6456949971012473,0.43661971830985913,0.4696969696969697,0.8876404494382022
KC1,4,two_shap,22.668,25.5,25.848,0.43283582089552236,0.7783923941227313,0.39527234659571253,0.32581022568378587,0.6293045371825811,0.42028985507246375,0.4461538461538462,0.8876404494382022
KC1,4,single_shap,10.536,13.5,13.873,0.42962962962962964,0.7803586862575627,0.4151742660346394,0.32120908035203083,0.6283080131414058,0.4142857142857143,0.4461538461538462,0.8848314606741573
